TITLE="ugrid_n=25Re=100.dat" VARIABLES="x", "y", "u" ZONE T="ugrid_n=25Re=100.dat" I=22 J=23 F=POINT
9.1304347826e-01, 5.0000000000e-01, -4.8866523546e-02,
9.5652173913e-01, 5.0000000000e-01, -1.3450981209e-02,
4.3478260870e-02, 5.4347826087e-01, -4.7917289460e-03,
8.6956521739e-02, 5.4347826087e-01, -1.6336340785e-02,
1.3043478261e-01, 5.4347826087e-01, -3.2104466439e-02,
1.7391304348e-01, 5.4347826087e-01, -5.0124758322e-02,
2.1739130435e-01, 5.4347826087e-01, -6.9051693626e-02,
2.6086956522e-01, 5.4347826087e-01, -8.8090332299e-02,
3.0434782609e-01, 5.4347826087e-01, -1.0685625179e-01,
3.4782608696e-01, 5.4347826087e-01, -1.2522540884e-01,
3.9130434783e-01, 5.4347826087e-01, -1.4319877709e-01,
4.3478260870e-01, 5.4347826087e-01, -1.6078424590e-01,
4.7826086957e-01, 5.4347826087e-01, -1.7788724939e-01,
5.2173913043e-01, 5.4347826087e-01, -1.9419782341e-01,
5.6521739130e-01, 5.4347826087e-01, -2.0906264164e-01,
6.0869565217e-01, 5.4347826087e-01, -2.2133866727e-01,
6.5217391304e-01, 5.4347826087e-01, -2.2924691040e-01,
6.9565217391e-01, 5.4347826087e-01, -2.3029155437e-01,
7.3913043478e-01, 5.4347826087e-01, -2.2139150118e-01,
7.8260869565e-01, 5.4347826087e-01, -1.9948053471e-01,
8.2608695652e-01, 5.4347826087e-01, -1.6290209675e-01,
8.6956521739e-01, 5.4347826087e-01, -1.1374147189e-01,
9.1304347826e-01, 5.4347826087e-01, -6.0344385843e-02,
9.5652173913e-01, 5.4347826087e-01, -1.7343805440e-02,
4.3478260870e-02, 5.8695652174e-01, -4.5082634970e-03,
8.6956521739e-02, 5.8695652174e-01, -1.5362065022e-02,
1.3043478261e-01, 5.8695652174e-01, -2.9926973731e-02,
1.7391304348e-01, 5.8695652174e-01, -4.6136354467e-02,
2.1739130435e-01, 5.8695652174e-01, -6.2644585335e-02,
2.6086956522e-01, 5.8695652174e-01, -7.8748571565e-02,
3.0434782609e-01, 5.8695652174e-01, -9.4221750122e-02,
3.4782608696e-01, 5.8695652174e-01, -1.0914408760e-01,
3.9130434783e-01, 5.8695652174e-01, -1.2375866420e-01,
4.3478260870e-01, 5.8695652174e-01, -1.3835482277e-01,
4.7826086957e-01, 5.8695652174e-01, -1.5316420539e-01,
5.2173913043e-01, 5.8695652174e-01, -1.6825125227e-01,
5.6521739130e-01, 5.8695652174e-01, -1.8337746925e-01,
6.0869565217e-01, 5.8695652174e-01, -1.9782049352e-01,
6.5217391304e-01, 5.8695652174e-01, -2.1014152326e-01,
6.9565217391e-01, 5.8695652174e-01, -2.1793442048e-01,
7.3913043478e-01, 5.8695652174e-01, -2.1768337478e-01,
7.8260869565e-01, 5.8695652174e-01, -2.0502991944e-01,
8.2608695652e-01, 5.8695652174e-01, -1.7598262195e-01,
8.6956521739e-01, 5.8695652174e-01, -1.2969426968e-01,
9.1304347826e-01, 5.8695652174e-01, -7.2738994999e-02,
9.5652173913e-01, 5.8695652174e-01, -2.2083079063e-02,
4.3478260870e-02, 6.3043478261e-01, -4.4226313422e-03,
8.6956521739e-02, 6.3043478261e-01, -1.4807901152e-02,
1.3043478261e-01, 6.3043478261e-01, -2.8108471307e-02,
1.7391304348e-01, 6.3043478261e-01, -4.2049690328e-02,
2.1739130435e-01, 6.3043478261e-01, -5.5312104880e-02,
2.6086956522e-01, 6.3043478261e-01, -6.7365915170e-02,
3.0434782609e-01, 6.3043478261e-01, -7.8223791282e-02,
3.4782608696e-01, 6.3043478261e-01, -8.8228139420e-02,
3.9130434783e-01, 6.3043478261e-01, -9.7897207972e-02,
4.3478260870e-01, 6.3043478261e-01, -1.0781661353e-01,
4.7826086957e-01, 6.3043478261e-01, -1.1855274665e-01,
5.2173913043e-01, 6.3043478261e-01, -1.3056358684e-01,
5.6521739130e-01, 6.3043478261e-01, -1.4408053195e-01,
6.0869565217e-01, 6.3043478261e-01, -1.5893031481e-01,
6.5217391304e-01, 6.3043478261e-01, -1.7426350387e-01,
6.9565217391e-01, 6.3043478261e-01, -1.8817158520e-01,
7.3913043478e-01, 6.3043478261e-01, -1.9724867565e-01,
7.8260869565e-01, 6.3043478261e-01, -1.9635779004e-01,
8.2608695652e-01, 6.3043478261e-01, -1.7926221531e-01,
8.6956521739e-01, 6.3043478261e-01, -1.4128021350e-01,
9.1304347826e-01, 6.3043478261e-01, -8.5048080153e-02,
9.5652173913e-01, 6.3043478261e-01, -2.7751030680e-02,
4.3478260870e-02, 6.7391304348e-01, -4.8547674676e-03,
8.6956521739e-02, 6.7391304348e-01, -1.5430992234e-02,
1.3043478261e-01, 6.7391304348e-01, -2.7682208816e-02,
1.7391304348e-01, 6.7391304348e-01, -3.8979417217e-02,
2.1739130435e-01, 6.7391304348e-01, -4.8129416044e-02,
2.6086956522e-01, 6.7391304348e-01, -5.4941688775e-02,
3.0434782609e-01, 6.7391304348e-01, -5.9807356395e-02,
3.4782608696e-01, 6.7391304348e-01, -6.3416112101e-02,
3.9130434783e-01, 6.7391304348e-01, -6.6595344236e-02,
4.3478260870e-01, 6.7391304348e-01, -7.0222939675e-02,
4.7826086957e-01, 6.7391304348e-01, -7.5172289340e-02,
5.2173913043e-01, 6.7391304348e-01, -8.2259308120e-02,
5.6521739130e-01, 6.7391304348e-01, -9.2164751669e-02,
6.0869565217e-01, 6.7391304348e-01, -1.0529832265e-01,
6.5217391304e-01, 6.7391304348e-01, -1.2155349205e-01,
6.9565217391e-01, 6.7391304348e-01, -1.3988153110e-01,
7.3913043478e-01, 6.7391304348e-01, -1.5762831474e-01,
7.8260869565e-01, 6.7391304348e-01, -1.6973681584e-01,
8.2608695652e-01, 6.7391304348e-01, -1.6842045779e-01,
8.6956521739e-01, 6.7391304348e-01, -1.4488348587e-01,
9.1304347826e-01, 6.7391304348e-01, -9.5625949766e-02,
9.5652173913e-01, 6.7391304348e-01, -3.4410284179e-02,
4.3478260870e-02, 7.1739130435e-01, -6.3620474636e-03,
8.6956521739e-02, 7.1739130435e-01, -1.8383910392e-02,
1.3043478261e-01, 7.1739130435e-01, -3.0029690570e-02,
1.7391304348e-01, 7.1739130435e-01, -3.8224758984e-02,
2.1739130435e-01, 7.1739130435e-01, -4.2178747627e-02,
2.6086956522e-01, 7.1739130435e-01, -4.2345293106e-02,
3.0434782609e-01, 7.1739130435e-01, -3.9705083239e-02,
3.4782608696e-01, 7.1739130435e-01, -3.5402510984e-02,
3.9130434783e-01, 7.1739130435e-01, -3.0602562816e-02,
4.3478260870e-01, 7.1739130435e-01, -2.6451117692e-02,
4.7826086957e-01, 7.1739130435e-01, -2.4070590450e-02,
5.2173913043e-01, 7.1739130435e-01, -2.4556740893e-02,
5.6521739130e-01, 7.1739130435e-01, -2.8955799596e-02,
6.0869565217e-01, 7.1739130435e-01, -3.8197137732e-02,
6.5217391304e-01, 7.1739130435e-01, -5.2932293733e-02,
6.9565217391e-01, 7.1739130435e-01, -7.3179957033e-02,
7.3913043478e-01, 7.1739130435e-01, -9.7607624322e-02,
7.8260869565e-01, 7.1739130435e-01, -1.2229351930e-01,
8.2608695652e-01, 7.1739130435e-01, -1.3923242279e-01,
8.6956521739e-01, 7.1739130435e-01, -1.3620499360e-01,
9.1304347826e-01, 7.1739130435e-01, -1.0197947933e-01,
9.5652173913e-01, 7.1739130435e-01, -4.2005939354e-02,
4.3478260870e-02, 7.6086956522e-01, -9.9379743436e-03,
8.6956521739e-02, 7.6086956522e-01, -2.5320495860e-02,
