TITLE="vgrid_n=25Re=100.dat" VARIABLES="x", "y", "v" ZONE T="vgrid_n=25Re=100.dat" I=23 J=22 F=POINT
1.0869565217e-01, 3.0434782609e-01, 5.6644207853e-02,
1.5217391304e-01, 3.0434782609e-01, 6.8193774621e-02,
1.9565217391e-01, 3.0434782609e-01, 7.4555051146e-02,
2.3913043478e-01, 3.0434782609e-01, 7.6410596208e-02,
2.8260869565e-01, 3.0434782609e-01, 7.4220773745e-02,
3.2608695652e-01, 3.0434782609e-01, 6.8221347691e-02,
3.6956521739e-01, 3.0434782609e-01, 5.8511771301e-02,
4.1304347826e-01, 3.0434782609e-01, 4.5188241319e-02,
4.5652173913e-01, 3.0434782609e-01, 2.8484871843e-02,
5.0000000000e-01, 3.0434782609e-01, 8.9010546504e-03,
5.4347826087e-01, 3.0434782609e-01, -1.2696122524e-02,
5.8695652174e-01, 3.0434782609e-01, -3.5003433546e-02,
6.3043478261e-01, 3.0434782609e-01, -5.6265114949e-02,
6.7391304348e-01, 3.0434782609e-01, -7.4342301381e-02,
7.1739130435e-01, 3.0434782609e-01, -8.6915858746e-02,
7.6086956522e-01, 3.0434782609e-01, -9.1866165299e-02,
8.0434782609e-01, 3.0434782609e-01, -8.7828464014e-02,
8.4782608696e-01, 3.0434782609e-01, -7.4815317824e-02,
8.9130434783e-01, 3.0434782609e-01, -5.4652529153e-02,
9.3478260870e-01, 3.0434782609e-01, -3.0920001936e-02,
9.7826086957e-01, 3.0434782609e-01, -8.3059112128e-03,
2.1739130435e-02, 3.4782608696e-01, 2.0004989440e-02,
6.5217391304e-02, 3.4782608696e-01, 5.0616724866e-02,
1.0869565217e-01, 3.4782608696e-01, 7.2363963772e-02,
1.5217391304e-01, 3.4782608696e-01, 8.6421273020e-02,
1.9565217391e-01, 3.4782608696e-01, 9.4031174561e-02,
2.3913043478e-01, 3.4782608696e-01, 9.6191858301e-02,
2.8260869565e-01, 3.4782608696e-01, 9.3543178344e-02,
3.2608695652e-01, 3.4782608696e-01, 8.6397709275e-02,
3.6956521739e-01, 3.4782608696e-01, 7.4861731358e-02,
4.1304347826e-01, 3.4782608696e-01, 5.8995964128e-02,
4.5652173913e-01, 3.4782608696e-01, 3.8980374408e-02,
5.0000000000e-01, 3.4782608696e-01, 1.5266430479e-02,
5.4347826087e-01, 3.4782608696e-01, -1.1287152534e-02,
5.8695652174e-01, 3.4782608696e-01, -3.9299187982e-02,
6.3043478261e-01, 3.4782608696e-01, -6.6788988405e-02,
6.7391304348e-01, 3.4782608696e-01, -9.1180924470e-02,
7.1739130435e-01, 3.4782608696e-01, -1.0946273721e-01,
7.6086956522e-01, 3.4782608696e-01, -1.1858726885e-01,
8.0434782609e-01, 3.4782608696e-01, -1.1617785963e-01,
8.4782608696e-01, 3.4782608696e-01, -1.0146745148e-01,
8.9130434783e-01, 3.4782608696e-01, -7.6143272063e-02,
