TITLE="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" VARIABLES="x", "y", "u", "v", "vmag", "omegaxy", "vortz" ZONE T="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" I=51 J=51 F=POINT
0.0200000000, 0.6600000000, -0.0008798244, 0.0446498413, 0.0044658509, 0.0002001064, -14.8527637192
0.0200000000, 0.6800000000, -0.0009441931, 0.0464324150, 0.0046442014, 0.0002078841, -15.5834038786
0.0200000000, 0.7000000000, -0.0010516156, 0.0483762547, 0.0048387684, 0.0002162379, -16.4886022957
0.0200000000, 0.7200000000, -0.0012171694, 0.0505755651, 0.0050590209, 0.0002255087, -17.6725132186
0.0200000000, 0.7400000000, -0.0014607712, 0.0531565549, 0.0053176623, 0.0002361353, -19.2855269963
0.0200000000, 0.7600000000, -0.0018102763, 0.0562873794, 0.0056316482, 0.0002486593, -21.5645428213
0.0200000000, 0.7800000000, -0.0023007881, 0.0601897451, 0.0060233704, 0.0002638167, -24.8473238320
0.0200000000, 0.8000000000, -0.0029775265, 0.0651622900, 0.0065230282, 0.0002824562, -29.5825667111
0.0200000000, 0.8200000000, -0.0039346997, 0.0716035729, 0.0071711600, 0.0003051236, -36.8369039994
0.0200000000, 0.8400000000, -0.0052371298, 0.0799965695, 0.0080167816, 0.0003339065, -47.8051050020
0.0200000000, 0.8600000000, -0.0069088902, 0.0910983998, 0.0091360009, 0.0003696855, -62.7537227581
0.0200000000, 0.8800000000, -0.0098263444, 0.1059584122, 0.0106413073, 0.0004009721, -92.1854808683
0.0200000000, 0.9000000000, -0.0134473389, 0.1246159721, 0.0125339425, 0.0004524598, -138.1409493297
0.0200000000, 0.9200000000, -0.0157695557, 0.1499788297, 0.0150805598, 0.0004994191, -168.7520782475
0.0200000000, 0.9400000000, -0.0343382176, 0.1861992767, 0.0189339071, 0.0001967267, -482.7109042358
0.0200000000, 0.9600000000, -0.0108027250, 0.1875583522, 0.0187869195, 0.0005790134, -975.8194739248
0.0200000000, 0.9800000000, 0.2019285380, 0.0953382601, 0.0223303646, 0.0017225661, -1769.9133061978
0.0200000000, 1.0000000000, 1.0000000000, -0.0000000000, 0.1000000000, 0.0036737532, -1463.3504973915
0.0400000000, 0.0000000000, -0.0000000000, -0.0000000000, 0.0000000000, -0.0003583011, -10.9652108922
0.0400000000, 0.0200000000, 0.0042671742, 0.0148799674, 0.0015479735, -0.0002539266, -161.4161065092
0.0400000000, 0.0400000000, 0.0129204328, 0.0130757965, 0.0018382438, -0.0001476985, 0.4882917347
0.0400000000, 0.0600000000, -0.0017980297, 0.0054130424, 0.0005703853, 0.0000105974, -52.8420397866
0.0400000000, 0.0800000000, -0.0006766349, 0.0021381253, 0.0002242636, 0.0000047876, 1.7935156096
0.0400000000, 0.1000000000, -0.0002361663, 0.0029112657, 0.0002920829, 0.0000041960, 3.4342344974
0.0400000000, 0.1200000000, -0.0009101682, 0.0038408529, 0.0003947221, 0.0000078138, -1.3189246858
0.0400000000, 0.1400000000, -0.0012651656, 0.0048720011, 0.0005033591, 0.0000103409, -0.2786133366
0.0400000000, 0.1600000000, -0.0016027067, 0.0062899062, 0.0006490885, 0.0000138962, -0.1866507545
0.0400000000, 0.1800000000, -0.0019301313, 0.0080078947, 0.0008237219, 0.0000178807, -0.5028038670
0.0400000000, 0.2000000000, -0.0022117574, 0.0099898659, 0.0010231778, 0.0000221695, -0.7317471560
0.0400000000, 0.2200000000, -0.0024678832, 0.0122210984, 0.0012467786, 0.0000268977, -1.0726212921
0.0400000000, 0.2400000000, -0.0027018768, 0.0146793849, 0.0014925967, 0.0000320347, -1.4934726047
0.0400000000, 0.2600000000, -0.0029133985, 0.0173445739, 0.0017587556, 0.0000375502, -1.9659444511
0.0400000000, 0.2800000000, -0.0031033500, 0.0201971734, 0.0020434202, 0.0000434208, -2.4887473316
0.0400000000, 0.3000000000, -0.0032714277, 0.0232171673, 0.0023446516, 0.0000496134, -3.0535856981
0.0400000000, 0.3200000000, -0.0034168412, 0.0263840238, 0.0026604351, 0.0000560920, -3.6529479759
0.0400000000, 0.3400000000, -0.0035387086, 0.0296764428, 0.0029886681, 0.0000628182, -4.2805276216
0.0400000000, 0.3600000000, -0.0036361254, 0.0330722799, 0.0033271566, 0.0000697512, -4.9297729281
0.0400000000, 0.3800000000, -0.0037083336, 0.0365486417, 0.0036736289, 0.0000768478, -5.5941479338
0.0400000000, 0.4000000000, -0.0037548760, 0.0400820895, 0.0040257583, 0.0000840633, -6.2672016400
0.0400000000, 0.4200000000, -0.0037757363, 0.0436489694, 0.0043811970, 0.0000913517, -6.9426294045
0.0400000000, 0.4400000000, -0.0037714859, 0.0472258715, 0.0047376229, 0.0000986668, -7.6144588450
0.0400000000, 0.4600000000, -0.0037434327, 0.0507902195, 0.0050927985, 0.0001059625, -8.2772840039
0.0400000000, 0.4800000000, -0.0036937763, 0.0543209958, 0.0054446438, 0.0001131946, -8.9265534487
0.0400000000, 0.5000000000, -0.0036257749, 0.0577996102, 0.0057913221, 0.0001203215, -9.5589216000
0.0400000000, 0.5200000000, -0.0035439294, 0.0612109257, 0.0061313431, 0.0001273060, -10.1726702909
0.0400000000, 0.5400000000, -0.0034541980, 0.0645444586, 0.0064636821, 0.0001341167, -10.7682190120
0.0400000000, 0.5600000000, -0.0033642572, 0.0677957844, 0.0067879206, 0.0001407301, -11.3487552582
0.0400000000, 0.5800000000, -0.0032838342, 0.0709681933, 0.0071044127, 0.0001471320, -11.9210357971
0.0400000000, 0.6000000000, -0.0032251446, 0.0740746592, 0.0074144836, 0.0001533200, -12.4964372940
0.0400000000, 0.6200000000, -0.0032034818, 0.0771402130, 0.0077206702, 0.0001593045, -13.0923765875
0.0400000000, 0.6400000000, -0.0032380185, 0.0802048413, 0.0080270177, 0.0001651112, -13.7342930561
0.0400000000, 0.6600000000, -0.0033528947, 0.0833270684, 0.0083394498, 0.0001707809, -14.4584456421
0.0400000000, 0.6800000000, -0.0035786907, 0.0865884147, 0.0086662337, 0.0001763699, -15.3159012727
0.0400000000, 0.7000000000, -0.0039544144, 0.0900989372, 0.0090185674, 0.0001819464, -16.3785680758
0.0400000000, 0.7200000000, -0.0045300450, 0.0940040770, 0.0094113165, 0.0001875837, -17.7476275828
0.0400000000, 0.7400000000, -0.0053698843, 0.0984929958, 0.0098639271, 0.0001933455, -19.5649877604
0.0400000000, 0.7600000000, -0.0065572110, 0.1038079350, 0.0104014828, 0.0001992526, -22.0367035801
0.0400000000, 0.7800000000, -0.0081979722, 0.1102543340, 0.0110558694, 0.0002052342, -25.4568112557
0.0400000000, 0.8000000000, -0.0104263408, 0.1182111187, 0.0118670035, 0.0002110403, -30.2169014944
0.0400000000, 0.8200000000, -0.0134220128, 0.1281271274, 0.0128828224, 0.0002159470, -37.0059492646
0.0400000000, 0.8400000000, -0.0173730152, 0.1405017667, 0.0141571777, 0.0002186008, -46.8277258412
0.0400000000, 0.8600000000, -0.0224485902, 0.1558496167, 0.0157458065, 0.0002168934, -60.2124493347
0.0400000000, 0.8800000000, -0.0290498435, 0.1743390917, 0.0176742786, 0.0002039986, -80.9932762190
0.0400000000, 0.9000000000, -0.0365528016, 0.1952743420, 0.0198665991, 0.0001714963, -116.2956167549
0.0400000000, 0.9200000000, -0.0417908246, 0.2162103832, 0.0220212177, 0.0001269229, -162.3124800491
0.0400000000, 0.9400000000, -0.0398722525, 0.2214183461, 0.0224979734, 0.0000838521, -342.4192001419
0.0400000000, 0.9600000000, 0.0459974188, 0.1739846852, 0.0179962311, 0.0005950802, -626.8592373145
