TITLE="Solution_n=29_m=29_Re=400_BCM=0_CM=2_G=1.00_U=0.10.dat" VARIABLES="x", "y", "u", "v", "vmag", "omegaxy", "vortz" ZONE T="Solution_n=29_m=29_Re=400_BCM=0_CM=2_G=1.00_U=0.10.dat" I=29 J=29 F=POINT
0.3620689655, 0.1896551724, -0.1092506641, 0.0011907761, 0.0109257153, -0.0000208809, 0.2573430058
0.3965517241, 0.1896551724, -0.1081038366, -0.0082376904, 0.0108417245, -0.0000200452, 0.2844791624
0.4310344828, 0.1896551724, -0.1044077603, -0.0162660811, 0.0105667241, -0.0000186553, 0.3208059268
0.4655172414, 0.1896551724, -0.0988326194, -0.0225686190, 0.0101376670, -0.0000171562, 0.3606629102
0.5000000000, 0.1896551724, -0.0919906008, -0.0272288711, 0.0095935823, -0.0000159923, 0.4016157341
0.5344827586, 0.1896551724, -0.0842557133, -0.0305160006, 0.0089611671, -0.0000151591, 0.4440311145
0.5689655172, 0.1896551724, -0.0757598566, -0.0325128497, 0.0082441745, -0.0000142396, 0.4867301541
0.6034482759, 0.1896551724, -0.0666037430, -0.0331708726, 0.0074406756, -0.0000131756, 0.5239295499
0.6379310345, 0.1896551724, -0.0569327060, -0.0325109669, 0.0065561391, -0.0000118567, 0.5490922487
0.6724137931, 0.1896551724, -0.0469372012, -0.0305167417, 0.0055985466, -0.0000100702, 0.5579444818
0.7068965517, 0.1896551724, -0.0369240758, -0.0271797757, 0.0045848965, -0.0000078959, 0.5480516371
0.7413793103, 0.1896551724, -0.0273470442, -0.0226076954, 0.0035481949, -0.0000055107, 0.5193133686
0.7758620690, 0.1896551724, -0.0187472738, -0.0170339698, 0.0025330148, -0.0000031527, 0.4716836549
0.8103448276, 0.1896551724, -0.0115716703, -0.0108979404, 0.0015895555, -0.0000010999, 0.4035258561
0.8448275862, 0.1896551724, -0.0060831308, -0.0048775083, 0.0007797087, 0.0000003319, 0.3179714227
0.8793103448, 0.1896551724, -0.0024605214, 0.0002855133, 0.0002477031, 0.0000009095, 0.2221709783
0.9137931034, 0.1896551724, -0.0006337642, 0.0038324733, 0.0003884522, 0.0000005571, 0.1131000210
0.9482758621, 0.1896551724, -0.0000498008, 0.0047077253, 0.0004707989, -0.0000009063, -0.0083561173
0.9827586207, 0.1896551724, 0.0000203931, 0.0021595339, 0.0002159630, -0.0000031107, -0.1221138803
0.0172413793, 0.2241379310, -0.0018005296, 0.0166589913, 0.0016756011, 0.0000239300, 0.9184899943
0.0517241379, 0.2241379310, -0.0116132277, 0.0419216089, 0.0043500441, 0.0000111995, 0.6047286442
0.0862068966, 0.2241379310, -0.0272662453, 0.0548939818, 0.0061292719, 0.0000033207, 0.3870215056
0.1206896552, 0.2241379310, -0.0452500147, 0.0606135988, 0.0075641075, -0.0000027355, 0.2778534670
0.1551724138, 0.2241379310, -0.0636177945, 0.0611994755, 0.0088275702, -0.0000076201, 0.2128176638
0.1896551724, 0.2241379310, -0.0811903509, 0.0577045941, 0.0099607697, -0.0000120503, 0.1636516931
0.2241379310, 0.2241379310, -0.0969968229, 0.0505245019, 0.0109366855, -0.0000161217, 0.1242117611
0.2586206897, 0.2241379310, -0.1100218619, 0.0403596782, 0.0117190928, -0.0000192827, 0.1024361436
